Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone
724841418,"Sep 25, 2016, 3:35:59 PM",Easy Miles,Run,"experimenting with low heart-rate training, with a max of 145 bpm.  Interesting on the way out I was only able to do an 8:21 mile at that heart rate, on the way back I was able to do 7:47 at the same.  Never though the bike path incline had that much of an effect.",5259,16.11,80,false,,activities/798829014.fit.gz,0.0,,5259.0,4935.0,16109.2001953125,4.599999904632568,,51.29999923706055,,2.5,53.79999923706055,6.900000095367432,-0.009311449714004993,,,90.47139739990234,99.0,152.0,136.53799438476562,,,,,,80.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
725151282,"Sep 24, 2016, 1:08:00 PM",Morning Run,Run,,1308,4.23,32,false,,activities/799178096.fit.gz,0.0,,1308.0,1290.0,4237.2001953125,4.300000190734863,,19.280000686645508,,2.5,22.200000762939453,7.300000190734863,0.04012079909443855,,,89.97360229492188,93.0,179.0,148.94900512695312,,,,,,32.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
725151290,"Sep 24, 2016, 1:38:26 PM",Morning Run,Run,,3060,9.82,51,false,,activities/799178099.fit.gz,0.0,,3060.0,2875.0,9824.5,4.599999904632568,,0.0,,1.5,12.300000190734863,6.0,0.017303679138422012,,,92.82675170898438,98.0,159.0,144.92379760742188,,,0.0,,,51.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
725151300,"Sep 22, 2016, 10:56:12 PM",Evening Run,Run,,3380,10.19,35,false,,activities/799178098.fit.gz,0.0,,3380.0,3190.0,10198.7998046875,4.300000190734863,,81.74666595458984,,5.099999904632568,38.0,8.699999809265137,0.046083852648735046,,,89.66844940185547,95.0,160.0,138.53106689453125,,,0.0,,,35.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
728338960,"Sep 27, 2016, 11:27:05 PM",Pre-Ultimate Warm-up,Run,"",1199,3.28,17,false,,activities/802865769.fit.gz,0.0,,1199.0,1073.0,3285.5,3.700000047683716,,0.0,,2.299999952316284,5.099999904632568,1.7999999523162842,-0.0030436799861490726,,,87.40609741210938,92.0,148.0,135.39700317382812,,,0.0,,,17.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
728339131,"Sep 28, 2016, 10:29:13 PM",Evening Run,Run,,2662,8.22,18,false,,activities/802865968.fit.gz,0.0,,2662.0,2628.0,8223.2001953125,4.0,,19.84000015258789,,2.5,22.899999618530273,7.199999809265137,0.11431073397397995,,,87.2456283569336,96.0,146.0,135.54086303710938,,,,,,18.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
729343244,"Sep 29, 2016, 10:05:12 PM",Evening Run,Run,,3740,11.68,27,false,,activities/804027603.fit.gz,0.0,,3740.0,3665.0,11687.2001953125,4.5,,40.560001373291016,,-0.4000000059604645,18.899999618530273,10.5,-0.005989458411931992,,,87.8138656616211,92.0,146.0,136.42837524414062,,,0.0,,,27.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
730259781,"Sep 30, 2016, 9:34:57 PM",Afternoon Run,Run,,2667,7.96,42,false,,activities/805084535.fit.gz,0.0,,2667.0,2634.0,7964.5,4.599999904632568,,68.04000091552734,,7.699999809265137,53.099998474121094,15.300000190734863,0.0012555716093629599,,,89.56996154785156,98.0,168.0,144.05963134765625,,,,,,42.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
730808037,"Oct 1, 2016, 12:03:57 PM",Morning Run,Run,,6938,21.36,143,false,,activities/805701983.fit.gz,0.0,,6938.0,6383.0,21362.900390625,4.699999809265137,,60.939998626708984,,2.5,65.0,9.399999618530273,0.014043036848306656,,,91.34300231933594,96.0,160.0,149.71388244628906,,,,,,143.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
734647679,"Oct 4, 2016, 10:10:20 PM",Evening Run,Run,,2031,4.36,11,false,,activities/810045388.fit.gz,0.0,,2031.0,2016.0,4367.10009765625,3.9000000953674316,,0.0,,9.0,23.0,5.5,-0.04579698294401169,,,88.20606994628906,94.0,151.0,132.12828063964844,,,,,,11.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
734647923,"Oct 4, 2016, 10:45:37 PM",Evening Run,Run,,1207,4.91,56,false,,activities/810045613.fit.gz,0.0,,1207.0,1085.0,4911.2001953125,5.300000190734863,,0.0,,9.100000381469727,10.399999618530273,2.0,-0.0020361621864140034,,,93.58040618896484,100.0,179.0,171.0994415283203,,,,,,56.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
